lon,lat,treatment_intensity,year,area_m2
34.2975,-0.0075,0-3,2023,992.0
34.3025,-0.0075,0-3,2016,1936.0
34.3025,-0.0075,0-3,2019,2640.0
34.3025,-0.0075,0-3,2023,3520.0
34.3325,-0.0075,0-3,2016,1440.0
34.3325,-0.0075,0-3,2019,2000.0
34.3325,-0.0075,0-3,2023,2416.0
34.3375,-0.0075,0-3,2016,3440.0
34.3375,-0.0075,0-3,2019,4128.0
34.3375,-0.0075,0-3,2023,5824.0
34.3525,-0.0075,7-9,2016,1776.0
34.3525,-0.0075,7-9,2019,2256.0
34.3525,-0.0075,7-9,2023,3584.0
34.3575,-0.0075,10-12,2016,1072.0
34.3575,-0.0075,10-12,2019,1312.0
34.3575,-0.0075,10-12,2023,1744.0
34.3625,-0.0075,0-3,2016,176.0
34.3625,-0.0075,0-3,2019,448.0
34.3625,-0.0075,0-3,2023,528.0
34.3675,-0.0075,4-6,2016,1408.0
34.3675,-0.0075,4-6,2019,1696.0
34.3675,-0.0075,4-6,2023,1712.0
34.1925,-0.0025,0-3,2016,1200.0
34.1925,-0.0025,0-3,2019,2064.0
34.1925,-0.0025,0-3,2023,2992.0
34.1975,-0.0025,0-3,2016,1216.0
34.1975,-0.0025,0-3,2019,1744.0
34.1975,-0.0025,0-3,2023,2000.0
34.2025,-0.0025,0-3,2016,384.0
34.2025,-0.0025,0-3,2019,448.0
34.2025,-0.0025,0-3,2023,528.0
34.2075,-0.0025,0-3,2016,16.0
34.2075,-0.0025,0-3,2019,64.0
34.2325,-0.0025,0-3,2016,96.0
34.2325,-0.0025,0-3,2019,256.0
34.2325,-0.0025,0-3,2023,208.0
34.2425,-0.0025,0-3,2016,480.0
34.2425,-0.0025,0-3,2019,624.0
34.2425,-0.0025,0-3,2023,976.0
34.2825,-0.0025,13-,2016,1360.0
34.2825,-0.0025,13-,2019,1712.0
34.2825,-0.0025,13-,2023,2352.0
34.2875,-0.0025,7-9,2016,1312.0
34.2875,-0.0025,7-9,2019,1824.0
